time,latitude,longitude,ugrd10m,time_run,vgrd10m,WS,WD
2026-03-03 12:00:00,12.0,-46.0,-10.21348,2026-02-23 12:00:00,0.6837842,10.2363,176.17
2026-03-03 12:00:00,12.0,-45.5,-10.11348,2026-02-23 12:00:00,0.67378414,10.1359,176.19
2026-03-03 12:00:00,12.0,-45.0,-9.71348,2026-02-23 12:00:00,0.28378418,9.7176,178.33
2026-03-03 12:00:00,12.0,-44.5,-9.99348,2026-02-23 12:00:00,0.22378418,9.996,178.72
2026-03-03 12:00:00,12.0,-44.0,-10.44348,2026-02-23 12:00:00,0.52378416,10.4566,177.13
2026-03-03 12:00:00,12.0,-43.5,-9.23348,2026-02-23 12:00:00,0.32378417,9.2392,177.99
2026-03-03 12:00:00,12.0,-43.0,-9.30348,2026-02-23 12:00:00,-0.3862158,9.3115,-177.62
2026-03-03 12:00:00,12.0,-42.5,-8.72348,2026-02-23 12:00:00,-0.5962158,8.7438,-176.09
2026-03-03 12:00:00,12.0,-42.0,-8.87348,2026-02-23 12:00:00,-1.5062158,9.0004,-170.37
2026-03-03 12:00:00,12.0,-41.5,-8.95348,2026-02-23 12:00:00,-1.2662158,9.0426,-171.95
2026-03-03 12:00:00,12.0,-41.0,-8.78348,2026-02-23 12:00:00,-1.0862159,8.8504,-172.95
2026-03-03 12:00:00,12.0,-40.5,-8.55348,2026-02-23 12:00:00,-1.8062158,8.7421,-168.08
2026-03-03 12:00:00,12.0,-40.0,-9.29348,2026-02-23 12:00:00,-1.6962157,9.447,-169.66
2026-03-03 12:00:00,12.0,-39.5,-9.85348,2026-02-23 12:00:00,-3.5262158,10.4654,-160.31
2026-03-03 12:00:00,12.0,-39.0,-8.82348,2026-02-23 12:00:00,-4.706216,10.0001,-151.93
2026-03-03 12:00:00,12.0,-38.5,-8.96348,2026-02-23 12:00:00,-5.0462155,10.2863,-150.62
2026-03-03 12:00:00,12.0,-38.0,-8.60348,2026-02-23 12:00:00,-4.2162156,9.581,-153.89
2026-03-03 12:00:00,12.0,-37.5,-9.54348,2026-02-23 12:00:00,-3.9162157,10.3158,-157.69
2026-03-03 12:00:00,12.0,-37.0,-8.70348,2026-02-23 12:00:00,-2.4662158,9.0461,-164.18
2026-03-03 12:00:00,12.0,-36.5,-8.29348,2026-02-23 12:00:00,-1.8962158,8.5075,-167.12
2026-03-03 12:00:00,12.0,-36.0,-8.1934805,2026-02-23 12:00:00,-2.6662157,8.6164,-161.97
2026-03-03 12:00:00,12.0,-35.5,-8.05348,2026-02-23 12:00:00,-3.5262158,8.7916,-156.35
2026-03-03 12:00:00,12.0,-35.0,-8.04348,2026-02-23 12:00:00,-4.2362156,9.0908,-152.23
2026-03-03 12:00:00,12.0,-34.5,-8.24348,2026-02-23 12:00:00,-4.0662155,9.1918,-153.74
2026-03-03 12:00:00,12.0,-34.0,-8.1934805,2026-02-23 12:00:00,-3.7462158,9.0093,-155.43
